Player,Position,Market Value
Erling Haaland,Centre-Forward,180
Bukayo Saka,Right Winger,120
Declan Rice,Defensive Midfield,110
Rodri,Defensive Midfield,110
Phil Foden,Right Winger,110
Moisés Caicedo,Defensive Midfield,90
Julián Álvarez,Second Striker,90
Martin Ødegaard,Attacking Midfield,90
Bruno Guimarães,Defensive Midfield,85
Gabriel Martinelli,Left Winger,85
Bernardo Silva,Attacking Midfield,80
Josko Gvardiol,Centre-Back,80
Rúben Dias,Centre-Back,80
Enzo Fernández,Central Midfield,80
Dominik Szoboszlai,Central Midfield,75
Christopher Nkunku,Attacking Midfield,75
William Saliba,Centre-Back,75
Luis Díaz,Left Winger,75
Alexander Isak,Centre-Forward,70
James Maddison,Attacking Midfield,70
Trent Alexander-Arnold,Right-Back,70
Gabriel Jesus,Centre-Forward,70
Bruno Fernandes,Attacking Midfield,70
Jack Grealish,Left Winger,70
Marcus Rashford,Left Winger,70
Jérémy Doku,Left Winger,65
Darwin Núñez,Centre-Forward,65
Evan Ferguson,Centre-Forward,65
Rasmus Højlund,Centre-Forward,65
Cristian Romero,Centre-Back,65
Lucas Paquetá,Attacking Midfield,65
Mohamed Salah,Right Winger,65
Alexis Mac Allister,Central Midfield,65
João Palhinha,Defensive Midfield,60
Gabriel Magalhães,Centre-Back,60
Douglas Luiz,Central Midfield,60
Moussa Diaby,Right Winger,60
Kevin De Bruyne,Attacking Midfield,60
Ollie Watkins,Centre-Forward,60
Kai Havertz,Attacking Midfield,55
Matheus Nunes,Central Midfield,55
Dejan Kulusevski,Right Winger,55
Ben White,Right-Back,55
Levi Colwill,Centre-Back,55
Heung-min Son,Left Winger,50
Cody Gakpo,Left Winger,50
Roméo Lavia,Defensive Midfield,50
Anthony Gordon,Left Winger,50
Kaoru Mitoma,Left Winger,50
Reece James,Right-Back,50
Diogo Jota,Left Winger,50
Amadou Onana,Defensive Midfield,50
Lisandro Martínez,Centre-Back,50
Michael Olise,Right Winger,50
Jarrod Bowen,Right Winger,50
Eberechi Eze,Attacking Midfield,48
Brennan Johnson,Right Winger,48
Sven Botman,Centre-Back,45
Raheem Sterling,Left Winger,45
Pedro Porro,Right-Back,45
Mason Mount,Attacking Midfield,45
Micky van de Ven,Centre-Back,45
Cole Palmer,Attacking Midfield,45
Pau Torres,Centre-Back,45
Mohammed Kudus,Attacking Midfield,45
Axel Disasi,Centre-Back,42
Manuel Akanji,Centre-Back,42
Joelinton,Central Midfield,42
Pedro Neto,Right Winger,42
Jacob Ramsey,Central Midfield,42
Oleksandr Zinchenko,Left-Back,42
Conor Gallagher,Central Midfield,42
Nathan Aké,Centre-Back,40
Sandro Tonali,Defensive Midfield,40
André Onana,Goalkeeper,40
André Onana,Goalkeeper,40
Destiny Udogie,Left-Back,40
Mykhaylo Mudryk,Left Winger,40
Ederson,Goalkeeper,40
Jurrien Timber,Centre-Back,40
Marc Guéhi,Centre-Back,38
Bryan Mbeumo,Right Winger,38
Ibrahima Konaté,Centre-Back,38
Luke Shaw,Left-Back,38
Nayef Aguerd,Centre-Back,38
James Ward-Prowse,Central Midfield,38
John Stones,Centre-Back,38
Leandro Trossard,Left Winger,38
Boubacar Kamara,Defensive Midfield,38
Mateo Kovacic,Central Midfield,38
Rico Lewis,Right-Back,38
Cheick Doucouré,Defensive Midfield,35
Tomas Soucek,Defensive Midfield,35
Max Kilman,Centre-Back,35
Pape Matar Sarr,Central Midfield,35
Eddie Nketiah,Centre-Forward,35
Andrew Robertson,Left-Back,35
João Pedro,Centre-Forward,35
Ezri Konsa,Centre-Back,35
David Raya,Goalkeeper,35
