id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
446993,4,BlockedShot,0.764000015,0.705,0.01758514,Ashley Young,h,631,OpenPlay,2021,LeftFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Ollie Watkins,Pass
446997,16,MissedShots,0.914000015,0.51,0.046818491,Emiliano Buendía,h,2203,SetPiece,2021,Head,16516,Aston Villa,Leicester,2,1,05-12-2021,Matthew Cash,BallRecovery
446998,16,Goal,0.964000015,0.475999985,0.112552918,Ezri Konsa Ngoyo,h,7726,SetPiece,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Emiliano Buendía,None
447000,27,SavedShot,0.901999969,0.302999992,0.055263482,Matthew Cash,h,8864,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Jacob Ramsey,Pass
447004,41,BlockedShot,0.715999985,0.495999985,0.016915459,Douglas Luiz,h,6122,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Marvelous Nakamba,Pass
447005,47,BlockedShot,0.913000031,0.485,0.114364035,Jacob Ramsey,h,8941,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Matthew Cash,Cross
447006,49,MissedShots,0.865999985,0.63,0.078595929,Ashley Young,h,631,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Ollie Watkins,Pass
447007,52,BlockedShot,0.865,0.5,0.368965358,Ollie Watkins,h,8865,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Jacob Ramsey,Pass
447008,53,Goal,0.988000031,0.575,0.078732096,Ezri Konsa Ngoyo,h,7726,FromCorner,2021,Head,16516,Aston Villa,Leicester,2,1,05-12-2021,John McGinn,Cross
447009,60,BlockedShot,0.925,0.434000015,0.130209774,Matthew Cash,h,8864,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,,None
447011,66,SavedShot,0.918000031,0.409000015,0.395367146,Ollie Watkins,h,8865,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,John McGinn,Throughball
447012,70,MissedShots,0.881999969,0.560999985,0.377000958,Jacob Ramsey,h,8941,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,John McGinn,Pass
447014,79,MissedShots,0.866999969,0.298999996,0.055809662,Matthew Cash,h,8864,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Carney Chukwuemeka,Pass
446992,2,SavedShot,0.943000031,0.31,0.062001206,Patson Daka,a,9738,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,Ademola Lookman,Pass
446994,8,BlockedShot,0.813000031,0.54,0.049848016,James Maddison,a,6818,OpenPlay,2021,RightFoot,16516,Aston Villa,Leicester,2,1,05-12-2021,,None
